time,x,y,z,qx,qy,qz,qw,err_x,err_y,err_z,err_qx,err_qy,err_qz,err_qw
1634068465961,3.51088,-1.3723,-1.27851,0.0103629,-0.00046517,0.637702,-0.770214,0,0,0,0,0,0,0
1634068466061,3.57831,-1.44207,-1.27851,0.00948111,-0.000487275,0.637708,-0.77022,0,0,0,0,0,0,0
1634068466161,3.64448,-1.51315,-1.27844,0.00856364,-0.000472363,0.637714,-0.770226,0,0,0,0,0,0,0
1634068466261,3.70949,-1.5854,-1.27833,0.00765882,-0.000436184,0.637718,-0.770232,0,0,0,0,0,0,0
1634068466361,3.77539,-1.66094,-1.27818,0.00747085,-0.000587085,0.63772,-0.770232,0,0,0,0,0,0,0
1634068466461,3.83829,-1.73527,-1.27806,0.00783346,-0.00088571,0.63772,-0.770228,0,0,0,0,0,0,0
1634068466561,3.90008,-1.81062,-1.27798,0.00841257,-0.0012627,0.63772,-0.770221,0,0,0,0,0,0,0
1634068466661,3.96245,-1.88934,-1.27794,0.00904261,-0.001682,0.637718,-0.770215,0,0,0,0,0,0,0
1634068466761,4.02158,-1.96684,-1.27794,0.00959877,-0.00209227,0.637716,-0.770209,0,0,0,0,0,0,0
1634068466861,4.07922,-2.04546,-1.27799,0.0100378,-0.00247892,0.637715,-0.770203,0,0,0,0,0,0,0
1634068466961,4.13523,-2.12522,-1.27807,0.0103432,-0.00282886,0.637713,-0.770199,0,0,0,0,0,0,0
1634068467061,4.19116,-2.20858,-1.27818,0.0105128,-0.00314015,0.637714,-0.770195,0,0,0,0,0,0,0
1634068467161,4.24365,-2.29063,-1.2783,0.0105363,-0.00338421,0.637716,-0.770192,0,0,0,0,0,0,0
1634068467261,4.29433,-2.37377,-1.27841,0.0104163,-0.00355676,0.637718,-0.770192,0,0,0,0,0,0,0
1634068467361,4.34465,-2.46053,-1.27852,0.0101299,-0.00364068,0.63772,-0.770193,0,0,0,0,0,0,0
1634068467461,4.39165,-2.54576,-1.2786,0.00971968,-0.00363669,0.637723,-0.770196,0,0,0,0,0,0,0
1634068467561,4.43692,-2.63193,-1.27864,0.00920399,-0.00355601,0.637727,-0.770199,0,0,0,0,0,0,0
1634068467661,4.48051,-2.71898,-1.27865,0.00860706,-0.00340799,0.637731,-0.770204,0,0,0,0,0,0,0
1634068467761,4.52377,-2.8095,-1.27861,0.00793136,-0.00319664,0.637734,-0.770209,0,0,0,0,0,0,0
1634068467861,4.56428,-2.89809,-1.27852,0.00723685,-0.00294544,0.637738,-0.770214,0,0,0,0,0,0,0
1634068467961,4.60344,-2.98735,-1.2784,0.00652918,-0.00266474,0.637741,-0.770218,0,0,0,0,0,0,0
1634068468061,4.64252,-3.07992,-1.27825,0.00638988,-0.00274991,0.637742,-0.770218,0,0,0,0,0,0,0
1634068468161,4.67921,-3.17033,-1.27812,0.00677116,-0.00318747,0.637741,-0.770215,0,0,0,0,0,0,0
1634068468261,4.71459,-3.2613,-1.27804,0.00734913,-0.00378943,0.637738,-0.770209,0,0,0,0,0,0,0
1634068468361,4.74849,-3.35283,-1.278,0.00794791,-0.00444253,0.637735,-0.770202,0,0,0,0,0,0,0
1634068468461,4.78171,-3.44773,-1.27803,0.00848742,-0.00509658,0.637732,-0.770195,0,0,0,0,0,0,0
1634068468561,4.81212,-3.54042,-1.2781,0.00888871,-0.00567045,0.63773,-0.770188,0,0,0,0,0,0,0
1634068468661,4.84059,-3.63368,-1.27822,0.00915716,-0.00616492,0.637729,-0.770182,0,0,0,0,0,0,0
1634068468761,4.86702,-3.72747,-1.27836,0.00928766,-0.00656233,0.637729,-0.770177,0,0,0,0,0,0,0
1634068468861,4.89204,-3.82464,-1.27853,0.00928445,-0.00686127,0.637731,-0.770173,0,0,0,0,0,0,0
